,community_area,community_area_name,assault_homicide,firearm_related,below_poverty_level,crowded_housing,dependency,no_high_school_diploma,per_capita_income,unemployment,adult_fruit_and_vegetable_servings_rate,adult_soda_consumption_rate,low_food_access,poverty_rate,crime_rate,population
32,28,NEAR WEST SIDE,12.7,9.3,21.6,3.8,22.9,11.2,41488,10.7,27.7,19.1,16.3899040761542,25.4373414697025,1387.3557000735864,63280.09464
33,20,HERMOSA,12.7,11.8,19.1,8.4,36.3,41.9,15411,12.9,25.7,33.0,0.0015602237616867,16.4582651730274,680.8824243885526,23534.165997
34,30,SOUTH LAWNDALE,11.1,8.6,28.1,17.6,33.1,58.7,10697,11.5,14.1,30.0,4.79340288387538,27.9704984354139,640.6313490768911,72091.383081
35,63,GAGE PARK,10.8,11.1,20.8,17.4,40.4,54.1,12014,14.0,22.3,24.4,20.8708077124487,18.1911484944911,632.181121530904,37204.527625
36,74,MOUNT GREENWOOD,2.2,7.4,3.1,1.1,37.0,4.5,34221,6.9,30.5,28.3,62.7846679184914,4.64121749531659,319.4268563547861,19196.883036
37,62,WEST ELSDON,5.9,7.7,9.8,8.7,38.7,39.6,16938,13.5,21.2,29.0,23.4935225660495,9.03198849307698,546.9516718542097,18992.537247
38,58,BRIGHTON PARK,11.1,10.6,23.0,13.2,39.8,48.2,13138,11.2,23.3,36.5,17.5886856693077,23.7231680345542,574.7803223550214,44347.377613
39,64,CLEARING,9.4,12.7,5.9,3.4,36.4,18.5,23920,9.6,13.2,38.8,49.1477609721487,8.76630636604595,382.441133089041,25018.229401
40,14,ALBANY PARK,4.7,5.3,17.1,11.2,32.1,34.9,20355,9.0,29.1,24.9,3.89779136284278,14.3426627384499,492.1732279473642,49941.765631
41,66,CHICAGO LAWN,22.4,19.4,22.2,6.5,40.0,31.6,14405,11.9,25.7,38.7,27.0809916982636,24.2472780776969,1174.7008293545584,51182.393421
