community_area,year,0
1,2020,3290
10,2020,1027
11,2020,995
12,2020,553
13,2020,776
14,2020,2014
15,2020,2606
16,2020,2197
17,2020,1367
18,2020,561
19,2020,3777
2,2020,3097
20,2020,1182
21,2020,1814
22,2020,3734
23,2020,6630
24,2020,5272
25,2020,12726
26,2020,4970
27,2020,3722
28,2020,6492
29,2020,7215
3,2020,2949
30,2020,3574
31,2020,2037
32,2020,5108
33,2020,1608
34,2020,846
35,2020,2183
36,2020,619
37,2020,680
38,2020,2949
39,2020,1210
4,2020,1883
40,2020,1966
41,2020,1470
42,2020,2928
43,2020,7805
44,2020,5442
45,2020,1202
46,2020,3388
47,2020,346
48,2020,1290
49,2020,5981
5,2020,1153
50,2020,923
51,2020,1635
52,2020,954
53,2020,3851
54,2020,1064
55,2020,506
56,2020,1556
57,2020,691
58,2020,1788
59,2020,751
6,2020,4293
60,2020,1302
61,2020,3576
62,2020,721
63,2020,1718
64,2020,859
65,2020,1257
66,2020,4891
67,2020,5678
68,2020,5160
69,2020,5942
7,2020,2863
70,2020,1889
71,2020,6243
72,2020,853
73,2020,2670
74,2020,516
75,2020,1690
76,2020,1214
77,2020,2338
8,2020,7285
9,2020,267
