id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58
12614065,JF139579,2022-02-09T23:01:00.000,003XX S CICERO AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),True,False,1533,015,28,25,15,1144438,1898165,2022,2022-02-16T15:50:22.000,41.876581037,-87.745137513,"{'latitude': '41.876581037', 'longitude': '-87.745137513', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,22216,26,69,23,32,16,143
12614175,JF139692,2022-02-09T23:00:00.000,011XX S FRANCISCO AVE,0890,THEFT,FROM BUILDING,APARTMENT,False,False,1135,011,28,29,06,1157196,1895006,2022,2022-02-16T15:50:22.000,41.867662948,-87.698379766,"{'latitude': '41.867662948', 'longitude': '-87.698379766', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,21184,30,35,23,28,16,146
12614113,JF139652,2022-02-09T23:00:00.000,012XX N CLARK ST,0810,THEFT,OVER $500,STREET,False,False,1821,018,2,8,06,1175308,1908699,2022,2022-02-16T15:50:22.000,41.904850452,-87.631476847,"{'latitude': '41.904850452', 'longitude': '-87.631476847', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",22,14926,37,17,11,54,14,198
12614400,JF139975,2022-02-09T23:00:00.000,015XX S SAWYER AVE,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,False,False,1022,010,24,29,06,1154947,1892271,2022,2022-02-16T15:50:22.000,41.860203161,-87.706709547,"{'latitude': '41.860203161', 'longitude': '-87.706709547', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21569,30,34,14,57,21,152
12614489,JF140134,2022-02-09T23:00:00.000,056XX S MICHIGAN AVE,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,0231,002,20,40,06,1178117,1867739,2022,2022-02-16T15:50:22.000,41.79238986,-87.62240425,"{'latitude': '41.79238986', 'longitude': '-87.62240425', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",53,22260,7,403,4,60,24,111
12614364,JF139988,2022-02-09T23:00:00.000,052XX W GLADYS AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1522,015,29,25,06,1141378,1897837,2022,2022-02-16T15:50:22.000,41.875737959,-87.756381096,"{'latitude': '41.875737959', 'longitude': '-87.756381096', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",52,22216,26,68,7,32,25,97
12614045,JF139581,2022-02-09T22:56:00.000,081XX S THROOP ST,3730,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE,STREET,True,False,0613,006,21,71,24,1169073,1850894,2022,2022-02-16T15:50:22.000,41.746365492,-87.656053583,"{'latitude': '41.746365492', 'longitude': '-87.656053583', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18,21554,70,575,13,59,20,233
12614018,JF139565,2022-02-09T22:45:00.000,021XX E 67TH ST,0550,ASSAULT,AGGRAVATED POLICE OFFICER - HANDGUN,SIDEWALK,False,False,0331,003,5,43,04A,1191483,1860963,2022,2022-02-16T15:50:22.000,41.773482276,-87.573613382,"{'latitude': '41.773482276', 'longitude': '-87.573613382', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,22538,9,134,33,24,18,262
12614019,JF139559,2022-02-09T22:45:00.000,075XX S EVANS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,0624,006,6,69,14,1182531,1855173,2022,2022-02-16T15:50:22.000,41.757806259,-87.606608299,"{'latitude': '41.757806259', 'longitude': '-87.606608299', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21546,67,496,32,61,20,227
12618884,JF145092,2022-02-09T22:45:00.000,089XX S ESCANABA AVE,1754,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,False,False,0423,004,10,46,02,,,2022,2022-02-16T15:50:22.000,,,,,,,,,,,
12614095,JF139611,2022-02-09T22:43:00.000,062XX W ROSEDALE AVE,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,False,1622,016,45,10,26,1133489,1938850,2022,2022-02-16T15:50:22.000,41.988424209,-87.78438293,"{'latitude': '41.988424209', 'longitude': '-87.78438293', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20,22532,36,656,50,18,12,43
12614070,JF139572,2022-02-09T22:42:00.000,065XX S HALSTED ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,0723,007,20,68,15,1172101,1861254,2022,2022-02-16T15:50:22.000,41.774728685,-87.644654402,"{'latitude': '41.774728685', 'longitude': '-87.644654402', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",53,21559,66,436,4,11,17,202
12614200,JF139713,2022-02-09T22:40:00.000,007XX W ADAMS ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1232,012,27,28,14,1171256,1899328,2022,2022-02-16T15:50:22.000,41.879225851,-87.646636417,"{'latitude': '41.879225851', 'longitude': '-87.646636417', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,4452,29,786,46,45,15,95
12614164,JF139554,2022-02-09T22:30:00.000,019XX N HUMBOLDT BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1421,014,1,22,08B,1156061,1912831,2022,2022-02-16T15:50:22.000,41.916599372,-87.702065114,"{'latitude': '41.916599372', 'longitude': '-87.702065114', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",15,22535,23,386,41,1,7,171
12614467,JF139931,2022-02-09T22:30:00.000,010XX W ADDISON ST,0860,THEFT,RETAIL THEFT,CONVENIENCE STORE,False,False,1924,019,44,6,06,1168667,1924089,2022,2022-02-16T15:50:22.000,41.947227914,-87.655424114,"{'latitude': '41.947227914', 'longitude': '-87.655424114', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",38,21186,57,691,25,53,5,12
12616614,JF141825,2022-02-09T22:30:00.000,009XX W BELMONT AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,1924,019,44,6,05,1169486,1921438,2022,2022-02-16T15:50:22.000,41.939935646,-87.652491107,"{'latitude': '41.939935646', 'longitude': '-87.652491107', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",38,4449,57,731,25,22,5,31
12614100,JF139584,2022-02-09T22:29:00.000,079XX S DR MARTIN LUTHER KING JR DR,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,0623,006,6,44,15,1180275,1852549,2022,2022-02-16T15:50:22.000,41.750657714,-87.614956494,"{'latitude': '41.750657714', 'longitude': '-87.614956494', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21546,40,406,32,61,20,228
